hour ntasks choosenPrice RPbuyer offered1 offered2 offered3 offered4
0.0 0.028571429 0.11500001 0.14375001 0.11500001 0.13614577 0.12381451 0.14375001
1.0 0.08571429 0.11463994 0.13680555 0.13680555 0.12680556 0.11463994 0.12680556
2.0 0.14285715 0.0834441 0.16333333 0.10656917 0.12576261 0.09835379 0.1212487
3.0 0.2 0.06514724 0.13779762 0.08721261 0.09585533 0.09013348 0.09055377
4.0 0.25714287 0.07624027 0.15555555 0.10364802 0.08399651 0.111686006 0.09857693
5.0 0.3 0.08918488 0.1609127 0.09699223 0.10911898 0.114806905 0.10725494
6.0 0.34285715 0.07625804 0.14722224 0.102119446 0.0934769 0.100722104 0.09834409
7.0 0.3857143 0.09652307 0.15679015 0.113027066 0.12402128 0.111366265 0.119638644
8.0 0.41428572 0.08309307 0.15244257 0.09401446 0.10290552 0.10217792 0.101069234
9.0 0.44285715 0.07662872 0.1450269 0.10427935 0.09229967 0.08520028 0.094051026
10.0 0.45714286 0.09163443 0.15559897 0.10183564 0.09017055 0.11051859 0.095034726
11.0 0.47142857 0.088060655 0.1544192 0.10831936 0.11208212 0.102252886 0.10867733
12.0 0.4857143 0.07379485 0.14840688 0.09201241 0.08938171 0.091845475 0.10291405
13.0 0.47142857 0.078059904 0.14898995 0.107036345 0.09510932 0.0971522 0.09497705
14.0 0.45714286 0.08595998 0.15208335 0.09972445 0.09850839 0.103049174 0.10062797
15.0 0.44285715 0.10777623 0.15631722 0.10952263 0.11120163 0.11768715 0.11387916
16.0 0.41428572 0.09098611 0.1525862 0.09021582 0.10163334 0.098022684 0.09673686
17.0 0.3857143 0.08180219 0.1404321 0.09068689 0.0821555 0.09132972 0.09197188
18.0 0.34285715 0.09377053 0.15503475 0.104729414 0.104148895 0.10242489 0.10471353
19.0 0.3 0.09159245 0.1589286 0.101021305 0.10402709 0.098752394 0.10315567
20.0 0.25714287 0.1021083 0.15949076 0.1116855 0.113204926 0.10774887 0.108727016
21.0 0.2 0.08740682 0.14553572 0.096409045 0.09761221 0.10146829 0.09629904
22.0 0.14285715 0.06493971 0.12833333 0.075259194 0.069724314 0.07620241 0.07255629
23.0 0.08571429 0.11083003 0.15416667 0.115629196 0.1134427 0.11741277 0.14109774
24.0 0.028571429 0.109619945 0.13333334 0.1166152 0.11798465 0.13225004 0.11242408
25.0 0.08571429 0.18680556 0.18680556 0.18680556 0.18680556 0.18680556 0.18680556
26.0 0.14285715 0.15583333 0.15583333 0.15583333 0.15583333 0.15583333 0.15583333
27.0 0.2 0.15476191 0.15476191 0.15476191 0.15476191 0.15476191 0.15476191
28.0 0.24285714 0.13259804 0.13259804 0.13259804 0.13259804 0.13259804 0.13259804
29.0 0.3 0.14920637 0.14920637 0.14920637 0.14920637 0.14920637 0.14920637
30.0 0.34285715 0.14479168 0.14479168 0.14479168 0.14479168 0.14479168 0.14479168
31.0 0.3857143 0.14635418 0.14475311 0.14475311 0.14475311 0.14475311 0.14475311
32.0 0.41428572 0.1434028 0.14209774 0.14209774 0.14209774 0.14209774 0.14209774
33.0 0.44285715 0.1482639 0.14919356 0.14919356 0.14919356 0.14919356 0.14919356
34.0 0.45714286 0.1467014 0.15013023 0.15013023 0.15013023 0.15013023 0.15013023
35.0 0.47142857 0.14288197 0.1430556 0.1430556 0.1430556 0.1430556 0.1430556
36.0 0.4857143 0.14548613 0.15085785 0.15085785 0.15085785 0.15085785 0.15085785
37.0 0.47142857 0.15225698 0.15505053 0.15505053 0.15505053 0.15505053 0.15505053
38.0 0.45714286 0.14496528 0.14114584 0.14114584 0.14114584 0.14114584 0.14114584
39.0 0.44285715 0.15260419 0.15174733 0.15174733 0.15174733 0.15174733 0.15174733
40.0 0.41428572 0.14809029 0.1466954 0.1466954 0.1466954 0.1466954 0.1466954
41.0 0.3857143 0.1371528 0.1395062 0.1395062 0.1395062 0.1395062 0.1395062
42.0 0.34285715 0.159375 0.159375 0.159375 0.159375 0.159375 0.159375
43.0 0.3 0.14920636 0.14920636 0.14920636 0.14920636 0.14920636 0.14920636
44.0 0.24285714 0.14656866 0.14656866 0.14656866 0.14656866 0.14656866 0.14656866
45.0 0.2 0.13720237 0.13720237 0.13720237 0.13720237 0.13720237 0.13720237
46.0 0.14285715 0.15791667 0.15791667 0.15791667 0.15791667 0.15791667 0.15791667
47.0 0.08571429 0.1701389 0.1701389 0.1701389 0.1701389 0.1701389 0.1701389
48.0 0.028571429 0.06284568 0.118750006 0.09612246 0.095689416 0.09410619 0.06284568
49.0 0.08571429 0.077904575 0.13333334 0.089987904 0.09720641 0.09203989 0.09170142
50.0 0.14285715 0.07519697 0.13708334 0.07579492 0.08919302 0.098707646 0.09003351
51.0 0.2 0.087339066 0.15922618 0.10288078 0.105831064 0.1106778 0.110134676
52.0 0.25714287 0.08070328 0.13981482 0.096824504 0.08886993 0.08828649 0.09354692
53.0 0.3 0.10061891 0.15555556 0.116155945 0.10347915 0.11242267 0.11018206
54.0 0.34285715 0.089140624 0.16024308 0.10161557 0.10582171 0.096930034 0.10500327
55.0 0.3857143 0.07898859 0.15385805 0.09870762 0.09880085 0.096176006 0.106827356
56.0 0.41428572 0.08549661 0.15272988 0.0984756 0.10673123 0.10047733 0.10569075
57.0 0.44285715 0.079425484 0.14811829 0.09880961 0.09340877 0.101984724 0.0909281
58.0 0.45714286 0.07772357 0.14856774 0.09997466 0.09954499 0.09793454 0.09455469
59.0 0.47142857 0.08831041 0.15101014 0.10332635 0.10628456 0.10449927 0.110779665
60.0 0.4857143 0.08597264 0.15453434 0.107162856 0.107774556 0.110472135 0.10248095
61.0 0.47142857 0.085460775 0.1558081 0.11019306 0.110633366 0.10427056 0.10063712
62.0 0.45714286 0.08925158 0.15299478 0.10544782 0.10147672 0.10324157 0.10608369
63.0 0.44285715 0.088577665 0.15564516 0.10138699 0.108747706 0.10716851 0.102757215
64.0 0.41428572 0.08412177 0.14080462 0.094091386 0.09274846 0.09120539 0.096300475
65.0 0.3857143 0.10002905 0.15987657 0.10939641 0.10770177 0.10728141 0.10717851
66.0 0.34285715 0.09455308 0.14687501 0.10038447 0.09848842 0.10009754 0.103254296
67.0 0.3 0.093057 0.14761904 0.098050185 0.09708281 0.09687333 0.0987826
68.0 0.25714287 0.08617148 0.15601853 0.10929453 0.092268944 0.106856115 0.10638997
69.0 0.2 0.11148166 0.1684524 0.11923005 0.126263 0.12230683 0.11551802
70.0 0.14285715 0.084084466 0.14291666 0.09177722 0.09079624 0.0900962 0.08728723
71.0 0.08571429 0.06988964 0.13333334 0.07406428 0.078615494 0.073327176 0.07840484
72.0 0.028571429 0.08860032 0.17500001 0.1521071 0.09061038 0.1362006 0.13094726
73.0 0.08571429 0.1361111 0.1361111 0.1361111 0.1361111 0.1361111 0.1361111
74.0 0.14285715 0.16208333 0.16208333 0.16208333 0.16208333 0.16208333 0.16208333
75.0 0.2 0.14107144 0.14107144 0.14107144 0.14107144 0.14107144 0.14107144
76.0 0.25714287 0.14606482 0.14606482 0.14606482 0.14606482 0.14606482 0.14606482
77.0 0.3 0.14841273 0.14841273 0.14841273 0.14841273 0.14841273 0.14841273
